03-16_clone_A_1
Algorithm: Statistical
Corner+ Avg:223, Count:32
Corner- Avg:12145, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=250 NF=1.000000 SF=2.109617 SFGene=All 
Background=Avg:65.55,Stdev:1.08,Max:68.6,Min:63.3 Noise=Avg:2.80,Stdev:0.08,Max:3.1,Min:2.6 RawQ=2.57 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
AFFX-TransRecMur/X57349_5_at	20	20	19.5	A	0.239063																															
AFFX-TransRecMur/X57349_M_at	20	20	4.0	A	0.953518																															
AFFX-TransRecMur/X57349_3_at	20	20	27.7	P	0.000509																															
AFFX-PyruCarbMur/L09192_5_at	20	20	46.5	A	0.368438																															
AFFX-PyruCarbMur/L09192_MA_at	20	20	15.2	A	0.772364																															
AFFX-PyruCarbMur/L09192_MB_at	20	20	21.7	A	0.603080																															
AFFX-PyruCarbMur/L09192_3_at	20	20	57.0	A	0.485110																															
AFFX-18SRNAMur/X00686_5_at	20	20	45.1	A	0.156732																															
AFFX-18SRNAMur/X00686_M_at	20	20	28.4	A	0.772364																															
AFFX-18SRNAMur/X00686_3_at	20	20	153.0	P	0.010317																															
AFFX-MUR_b2_at	21	21	546.7	P	0.000107																															
AFFX-MURINE_b1_at	21	21	2159.3	P	0.000046																															
AFFX-MURINE_B2_at	21	21	15444.8	P	0.000030																															
AFFX-GapdhMur/M32599_5_st	20	20	58.0	A	0.340661																															
AFFX-GapdhMur/M32599_M_st	20	20	84.9	A	0.165861																															
AFFX-GapdhMur/M32599_3_st	20	20	85.2	A	0.123572																															
AFFX-b-ActinMur/M12481_5_st	20	20	60.7	A	0.083592																															
AFFX-b-ActinMur/M12481_M_st	20	20	79.7	P	0.000297																															
AFFX-b-ActinMur/M12481_3_st	20	20	59.5	A	0.123572																															
AFFX-YEL002c/WBP1_at	20	20	12.9	A	0.262827																															
AFFX-YEL018w/_at	20	20	2.8	A	0.852061																															
AFFX-YEL024w/RIP1_at	20	20	25.5	A	0.139482																															
AFFX-YEL021w/URA3_at	20	20	40.9	P	0.015183																															
92539_at	16	16	13539.2	P	0.000219																															
92540_f_at	16	16	100.2	P	0.007543																															
92541_at	16	16	31.3	A	0.060419																															
92542_at	16	16	4411.9	P	0.000219																															
92543_at	16	16	200.6	P	0.001141																															
92544_f_at	16	16	3165.3	P	0.000219																															
92545_f_at	16	16	19.8	A	0.418069																															
92546_r_at	16	16	18.8	A	0.872355																															
92547_at	16	16	187.0	P	0.000805																															
92548_g_at	16	16	149.7	A	0.060419																															
92549_at	16	16	157.0	P	0.024711																															
92550_at	16	16	1.8	A	0.968664																															
92551_at	16	16	219.5	A	0.150527																															
92553_at	16	16	857.4	P	0.000219																															
92554_at	16	16	19.6	P	0.019304																															
92555_at	16	16	11.2	A	0.479380																															
92556_at	16	16	27.9	A	0.267463																															
92557_at	16	16	9.6	A	0.849473																															
92558_at	16	16	4.7	A	0.679170																															
92559_at	16	16	10.4	A	0.458816																															
92560_g_at	16	16	17.9	A	0.397994																															
92561_at	16	16	133.3	A	0.117160																															
92562_at	16	16	77.1	P	0.031336																															
92563_at	16	16	170.0	A	0.066865																															
92564_at	16	16	371.1	P	0.000266																															
92565_at	16	16	440.7	P	0.000219																															
92566_at	16	16	41.2	A	0.138765																															
92567_at	16	16	20.1	A	0.066865																															
92568_at	16	16	99.0	P	0.008689																															
92569_f_at	16	16	140.5	P	0.000266																															
92570_at	16	16	34.2	A	0.418069																															
92571_at	16	16	237.8	P	0.000388																															
92572_at	16	16	11.9	A	0.697453																															
92573_at	16	16	1491.8	P	0.000388																															
92574_at	16	16	1381.0	P	0.000219																															
92575_at	16	16	521.2	P	0.000673																															
92577_f_at	16	16	12133.4	P	0.000219																															
92578_at	16	16	818.2	P	0.000219																															
92579_at	16	16	132.9	P	0.000219																															
92580_at	16	16	187.8	P	0.000562																															
92581_at	16	16	343.0	P	0.000673																															
92582_at	16	16	217.6	P	0.002617																															
92583_at	16	16	29.7	A	0.378184																															
92584_at	16	16	207.4	M	0.048995																															
92585_at	16	16	362.9	P	0.000468																															
92586_at	16	16	757.6	P	0.000219																															
92587_at	16	16	518.0	P	0.000388																															
92589_at	16	16	699.3	P	0.000322																															
92590_at	16	16	4.5	A	0.749276																															
92592_at	16	16	65.8	A	0.250724																															
92593_at	16	16	11.0	A	0.679170																															
92594_at	16	16	44.3	A	0.397994																															
92595_r_at	16	16	11.9	A	0.117160																															
92596_at	16	16	136.8	P	0.000266																															
92597_s_at	16	16	48.5	P	0.014937																															
92598_at	16	16	1035.4	P	0.001602																															
92599_at	16	16	2.7	A	0.975289																															
92600_f_at	16	16	4.4	A	0.602006																															
92601_at	16	16	7.7	A	0.872355																															
92602_at	16	16	27.9	A	0.302547																															
92603_at	16	16	1003.0	P	0.000388																															
92605_at	16	16	1.6	A	0.882840																															
92606_at	16	16	3.2	A	0.765443																															
92607_at	16	16	4.8	A	0.882840																															
92608_at	16	16	382.3	P	0.000673																															
92610_at	16	16	243.6	P	0.001602																															
92611_at	16	16	756.2	P	0.000219																															
92612_at	16	16	39.0	A	0.397994																															
92614_at	16	16	29.2	A	0.378165																															
92615_at	16	16	1165.4	P	0.001354																															
92616_at	16	16	1654.7	P	0.000266																															
92617_at	16	16	6.6	A	0.541184																															
92618_at	16	16	109.7	P	0.001892																															
92619_at	16	16	1557.6	P	0.003585																															
92621_at	16	16	3509.6	P	0.000219																															
92622_at	16	16	416.7	P	0.000562																															
92623_at	16	16	1081.7	P	0.000388																															
92624_r_at	16	16	139.5	P	0.021866																															
92625_at	16	16	1916.1	P	0.000219																															
92626_at	16	16	6.4	A	0.795978																															
92628_at	16	16	8586.2	P	0.000219																															
92629_f_at	16	16	2129.6	P	0.000388																															
92630_r_at	16	16	737.6	M	0.048995																															
92631_f_at	12	12	399.8	P	0.003020																															
92632_at	16	16	631.9	P	0.000219																															
92633_at	16	16	60.4	P	0.001141																															
92634_at	16	16	125.4	P	0.001892																															
92635_at	16	16	91.4	P	0.039365																															
92636_f_at	16	16	2094.1	P	0.000219																															
92637_at	16	16	611.5	P	0.001354																															
92638_at	16	16	98.4	P	0.006532																															
92639_at	16	16	58.8	P	0.009985																															
92640_at	16	16	842.3	P	0.000219																															
92642_at	16	16	143.7	P	0.001602																															
92643_at	16	16	442.7	P	0.000266																															
92644_s_at	16	16	78.8	P	0.000322																															
92645_at	16	16	24.8	A	0.339456																															
92646_at	16	16	375.2	P	0.000468																															
92647_at	16	16	714.4	P	0.000219																															
92648_at	16	16	236.2	P	0.000266																															
92768_s_at	16	16	11.6	A	0.660442																															
92769_at	16	16	896.6	P	0.000322																															
92770_at	16	16	17477.9	P	0.000219																															
92771_at	16	16	564.3	P	0.000266																															
92773_at	16	16	13.7	A	0.458816																															
92774_at	16	16	7.7	A	0.660442																															
92775_at	16	16	279.6	P	0.000388																															
92777_at	16	16	2.5	A	0.918663																															
92778_i_at	15	15	435.7	P	0.015454																															
92779_f_at	16	16	3.5	A	0.882840																															
92780_f_at	16	16	5.4	A	0.849473																															
92781_at	16	16	42.2	M	0.054470																															
92782_at	16	16	333.7	P	0.011447																															
92783_at	16	16	224.4	P	0.019304																															
92784_at	16	16	5.2	A	0.697453																															
92786_at	16	16	18.5	P	0.035163																															
92787_at	16	16	817.9	P	0.000388																															
92788_f_at	15	15	760.5	P	0.000735																															
92789_r_at	16	16	42.1	P	0.008689																															
92790_at	16	16	82.6	P	0.000219																															
92792_at	16	16	6.3	A	0.882840																															
92793_at	16	16	224.7	M	0.048995																															
92794_f_at	16	16	166.1	P	0.000266																															
92795_at	16	16	139.4	P	0.000219																															
92796_at	16	16	26.8	A	0.378184																															
92797_at	16	16	896.6	P	0.000266																															
92798_at	16	16	1290.2	P	0.000219																															
92799_g_at	16	16	2924.4	P	0.000219																															
92800_i_at	15	15	3318.7	P	0.000603																															
92801_at	16	16	9.8	A	0.284747																															
92802_s_at	16	16	49.0	A	0.397994																															
92803_at	16	16	22.7	A	0.541184																															
92804_at	16	16	175.2	P	0.001354																															
92805_s_at	16	16	261.1	P	0.005643																															
92806_at	16	16	610.2	P	0.003585																															
92807_at	16	16	5260.7	P	0.000219																															
92808_f_at	16	16	466.6	P	0.000805																															
92809_r_at	16	16	162.0	P	0.000562																															
92810_at	16	16	294.2	P	0.000219																															
92811_at	16	16	5.8	A	0.641310																															
92812_f_at	16	16	83.7	A	0.749276																															
92813_at	16	16	16.5	A	0.284747																															
92814_at	16	16	2.5	A	0.849473																															
92816_r_at	16	16	183.4	P	0.000805																															
92817_at	16	16	1460.1	P	0.000219																															
92818_at	16	16	138.0	P	0.000219																															
92820_at	16	16	17.3	A	0.795978																															
92821_at	16	16	57.0	A	0.378184																															
92824_at	16	16	72.9	P	0.039365																															
92825_at	16	16	17.3	A	0.189687																															
92826_at	16	16	313.7	P	0.002228																															
92827_at	16	16	12.2	A	0.150527																															
92828_at	16	16	447.2	P	0.000673																															
92829_at	16	16	1006.7	P	0.000266																															
92830_s_at	16	16	1830.0	P	0.000219																															
92831_at	16	16	326.1	P	0.001141																															
92832_at	16	16	682.1	P	0.004180																															
92833_at	16	16	4.8	A	0.715253																															
92834_at	16	16	1433.9	P	0.000562																															
92835_at	16	16	70.5	A	0.117160																															
92836_at	16	16	88.8	A	0.458816																															
92837_f_at	16	16	3.0	A	0.972140																															
92838_at	16	16	530.9	A	0.073830																															
92839_f_at	16	16	61.5	P	0.039365																															
92840_at	16	16	143.0	P	0.006532																															
92841_f_at	16	16	24.4	A	0.660442																															
92842_r_at	16	16	8.6	A	0.581931																															
92843_r_at	16	16	39.7	A	0.418069																															
92845_at	16	16	230.8	P	0.000805																															
92846_at	16	16	12.0	A	0.697453																															
92847_s_at	16	16	460.3	P	0.000468																															
92848_at	16	16	147.4	P	0.000959																															
92849_at	16	16	52.7	A	0.150527																															
92850_at	16	16	345.0	P	0.000266																															
92851_at	16	16	8.5	A	0.602023																															
92852_at	16	16	7.1	A	0.781017																															
92853_at	16	16	8.5	A	0.520620																															
92854_at	16	16	634.7	P	0.000219																															
92855_at	16	16	3708.4	P	0.000219																															
92856_at	16	16	52.3	A	0.458816																															
92857_at	16	16	143.1	A	0.081337																															
92858_at	16	16	11.6	A	0.541184																															
92860_at	16	16	11.3	A	0.602006																															
92861_i_at	14	14	9.0	A	0.703191																															
92862_f_at	16	16	33.0	A	0.781017																															
92863_at	16	16	827.2	P	0.003585																															
92864_at	16	16	23.7	A	0.479380																															
92865_at	16	16	8.8	A	0.837065																															
92866_at	16	16	9.5	A	0.901946																															
92867_at	16	16	236.1	P	0.006532																															
92868_at	16	16	87.0	A	0.107301																															
92869_at	16	16	27.3	A	0.081337																															
92870_at	16	16	199.3	P	0.002617																															
92871_at	16	16	50.0	P	0.019304																															
92872_at	16	16	337.4	P	0.013092																															
92873_f_at	16	16	7.8	A	0.561639																															
92874_f_at	16	16	308.7	P	0.004180																															
92875_s_at	16	16	72.7	M	0.048995																															
92876_at	16	16	41.0	P	0.031336																															
92877_at	16	16	21.2	A	0.267463																															
92878_at	16	16	58.4	A	0.458816																															
92879_at	16	16	1469.0	P	0.000219																															
92880_at	16	16	478.4	P	0.014937																															
92881_at	16	16	81.5	A	0.267463																															
92882_at	16	16	173.9	P	0.000562																															
92883_at	16	16	11.4	A	0.284747																															
92884_at	16	16	4612.5	P	0.000219																															
92885_at	16	16	2.7	A	0.602006																															
92887_at	16	16	172.6	A	0.089405																															
93008_at	16	16	614.8	P	0.000219																															
93009_at	16	16	4.3	A	0.561639																															
93010_at	16	16	305.9	P	0.019304																															
93011_at	16	16	669.9	P	0.000266																															
93012_at	16	16	95.9	A	0.175989																															
93013_at	16	16	9181.7	P	0.000266																															
93014_at	16	16	4480.4	P	0.000219																															
93015_at	16	16	10.1	A	0.339558																															
93016_at	16	16	25.7	A	0.175989																															
93017_at	16	16	143.3	P	0.001892																															
93018_at	16	16	27.3	P	0.004863																															
93019_at	16	16	735.7	P	0.000266																															
93020_at	16	16	4.7	A	0.872355																															
93021_at	16	16	59.4	A	0.107301																															
93022_i_at	15	15	13.1	A	0.633364																															
93023_f_at	16	16	594.3	P	0.000468																															
93024_at	16	16	25.7	A	0.107301																															
93025_at	16	16	2828.7	P	0.000219																															
93026_at	16	16	1.5	A	0.901946																															
93027_r_at	16	16	118.4	A	0.320830																															
93028_at	16	16	40.8	P	0.039365																															
93029_at	16	16	648.3	P	0.000562																															
93030_at	16	16	6362.2	P	0.000219																															
93033_at	16	16	53.8	A	0.060419																															
93037_i_at	15	15	357.6	P	0.000327																															
93038_f_at	16	16	3475.6	P	0.000219																															
93039_at	16	16	3.6	A	0.992457																															
93040_at	16	16	41.3	A	0.602006																															
93041_at	16	16	487.8	P	0.000468																															
93042_at	16	16	6121.2	P	0.000219																															
93043_at	16	16	1106.8	P	0.000219																															
93045_at	16	16	102.7	P	0.000805																															
93046_at	16	16	662.5	P	0.000388																															
93047_at	16	16	285.0	P	0.000562																															
93048_at	16	16	185.0	P	0.000266																															
93050_at	16	16	3.2	A	0.951005																															
93051_at	16	16	31.3	A	0.175989																															
93053_at	16	16	40.2	A	0.250724																															
93054_at	16	16	264.6	P	0.024711																															
93055_at	16	16	95.9	P	0.001354																															
93056_g_at	16	16	100.2	P	0.007543																															
93057_at	16	16	2754.1	P	0.000219																															
93058_at	16	16	255.3	P	0.002228																															
93059_at	16	16	1056.6	P	0.000322																															
93061_at	16	16	23.5	A	0.602006																															
93062_at	16	16	221.8	P	0.000266																															
93063_at	16	16	60.5	A	0.117160																															
93064_at	16	16	441.4	P	0.000322																															
93065_at	16	16	67.7	A	0.234557																															
93066_at	16	16	679.2	P	0.000322																															
93067_f_at	16	16	313.7	P	0.000388																															
93068_r_at	16	16	278.7	M	0.043968																															
93069_at	16	16	426.7	P	0.000562																															
93070_at	16	16	138.2	P	0.000219																															
93071_at	16	16	2367.8	P	0.000322																															
93072_at	16	16	8.3	A	0.824011																															
93073_at	16	16	172.4	P	0.017001																															
93074_g_at	16	16	15.9	A	0.810313																															
93075_r_at	16	16	21.3	A	0.150527																															
93076_at	16	16	1530.2	P	0.000322																															
93077_s_at	16	16	20324.5	P	0.000219																															
93078_at	16	16	19162.7	P	0.000219																															
93080_at	16	16	1407.6	P	0.000468																															
93081_at	16	16	824.7	P	0.000219																															
93082_at	16	16	1766.1	P	0.000219																															
93083_at	16	16	380.5	P	0.004180																															
93084_at	16	16	1837.0	P	0.000219																															
93085_at	16	16	4726.9	P	0.000219																															
93086_at	16	16	145.4	P	0.005643																															
93087_r_at	16	16	350.3	P	0.002228																															
93088_at	16	16	9856.3	P	0.000219																															
93089_at	16	16	2031.2	P	0.000322																															
93090_at	16	16	39.0	A	0.330114																															
93091_s_at	16	16	35.6	A	0.581931																															
93092_at	16	16	387.9	A	0.138765																															
93093_at	16	16	954.6	P	0.000219																															
93094_at	16	16	30.6	A	0.089405																															
93095_at	16	16	359.6	P	0.000219																															
93096_at	16	16	1.6	A	0.918663																															
93097_at	16	16	3.9	A	0.968664																															
93098_at	16	16	5.6	A	0.795978																															
93099_f_at	16	16	68.5	A	0.073830																															
93100_at	16	16	4.8	A	0.892699																															
93101_s_at	16	16	83.8	P	0.004180																															
93102_f_at	16	16	266.7	P	0.000805																															
93103_at	16	16	5.5	A	0.749276																															
93104_at	16	16	2251.1	P	0.000219																															
93105_s_at	16	16	9984.0	P	0.000219																															
93106_i_at	14	14	667.4	P	0.000613																															
93107_r_at	16	16	11.1	A	0.089405																															
93108_at	16	16	7.7	A	0.358690																															
93109_f_at	16	16	49.9	P	0.019304																															
93111_at	16	16	436.8	P	0.000805																															
93112_at	16	16	203.1	P	0.017001																															
93114_at	16	16	33.0	A	0.081337																															
93116_at	16	16	2626.6	P	0.000266																															
93117_at	16	16	2191.4	P	0.000219																															
93118_at	16	16	169.9	P	0.000388																															
93119_at	16	16	2230.8	P	0.000219																															
93120_f_at	16	16	20373.3	P	0.000219																															
93121_at	16	16	17.0	A	0.234557																															
93122_at	16	16	10.4	A	0.541184																															
93124_at	16	16	44.5	A	0.284747																															
93126_at	16	16	324.0	P	0.011447																															
93127_at	16	16	92.1	A	0.320830																															
93248_at	16	16	38.9	A	0.073830																															
93250_r_at	16	16	402.5	P	0.000468																															
93251_at	16	16	60.8	M	0.054470																															
93252_at	16	16	1454.1	P	0.000562																															
93253_at	16	16	453.2	P	0.000266																															
93254_at	16	16	1066.9	P	0.000266																															
93255_at	16	16	1109.3	P	0.000805																															
93256_at	16	16	196.9	P	0.021866																															
93257_at	16	16	126.2	P	0.000805																															
93258_at	16	16	100.9	P	0.000673																															
93259_at	16	16	3.0	A	0.872355																															
93261_at	16	16	3.1	A	0.939581																															
93264_at	16	16	848.9	P	0.000219																															
93265_at	16	16	21.8	A	0.418069																															
93266_at	16	16	454.1	P	0.003585																															
93267_at	16	16	588.6	P	0.000266																															
93268_at	16	16	429.7	P	0.000468																															
93269_at	16	16	550.4	P	0.000266																															
93270_at	16	16	387.6	P	0.000219																															
93271_s_at	16	16	5227.2	P	0.000219																															
93272_at	16	16	294.7	P	0.000219																															
93273_at	16	16	5.9	A	0.810313																															
93274_at	16	16	1897.1	P	0.000219																															
93275_at	16	16	663.0	P	0.001602																															
93276_at	16	16	2042.8	P	0.000322																															
93277_at	16	16	1404.4	P	0.001141																															
93278_at	16	16	343.8	P	0.000673																															
93279_at	16	16	54.0	A	0.250724																															
93281_at	16	16	76.3	P	0.001141																															
93282_at	16	16	8.2	A	0.964837																															
93283_at	16	16	82.0	P	0.019304																															
93284_at	16	16	878.8	P	0.003585																															
93285_at	16	16	789.5	P	0.000266																															
93287_at	16	16	19.7	A	0.520620																															
93288_at	16	16	5259.1	P	0.000219																															
93290_at	16	16	799.6	P	0.000219																															
93293_at	16	16	5567.9	P	0.000219																															
93294_at	16	16	3.4	A	0.926170																															
93295_at	16	16	1501.1	P	0.000322																															
93296_at	16	16	7.9	A	0.561639																															
93298_at	16	16	144.0	P	0.008689																															
93299_at	16	16	47.8	A	0.250724																															
93300_at	16	16	19.4	A	0.602006																															
93301_at	16	16	81.3	P	0.035163																															
93302_at	16	16	10.3	A	0.795978																															
93303_at	16	16	276.7	P	0.000805																															
93304_at	16	16	34.2	A	0.378184																															
93305_f_at	16	16	704.7	P	0.000219																															
93306_at	16	16	1091.2	P	0.000266																															
93308_s_at	16	16	4.1	A	0.988553																															
93309_at	16	16	215.1	P	0.000266																															
93310_at	16	16	1815.1	P	0.000266																															
93311_at	16	16	686.9	P	0.000562																															
93312_at	16	16	697.9	P	0.000219																															
93313_at	16	16	5.7	A	0.697453																															
93314_g_at	16	16	954.9	P	0.024711																															
93315_at	16	16	738.9	P	0.000266																															
93316_at	16	16	2.3	A	0.882840																															
93317_at	16	16	49.9	A	0.138765																															
93318_at	16	16	26.0	A	0.749276																															
93319_at	16	16	1016.8	P	0.000219																															
93320_at	16	16	861.4	P	0.001602																															
93321_at	16	16	2765.5	P	0.000219																															
93322_at	16	16	4.7	A	0.968664																															
93323_at	16	16	3656.2	P	0.000219																															
93324_at	16	16	1461.5	P	0.000219																															
93325_at	16	16	116.3	P	0.013092																															
93326_at	16	16	58.3	A	0.320830																															
93327_at	16	16	126.1	A	0.098054																															
93328_at	16	16	12.0	A	0.561639																															
93330_at	16	16	6.4	A	0.910595																															
93332_at	16	16	11.7	A	0.697453																															
93333_at	16	16	601.2	P	0.000219																															
93334_at	16	16	10.6	A	0.500000																															
93336_at	16	16	603.7	P	0.000219																															
93337_at	16	16	506.4	P	0.000219																															
93338_at	16	16	39.1	P	0.031336																															
93339_at	16	16	924.7	P	0.000322																															
93340_f_at	16	16	246.7	P	0.000266																															
93341_r_at	16	16	1407.0	P	0.001354																															
93342_at	16	16	108.3	P	0.000805																															
93346_at	16	16	1614.4	P	0.000219																															
93347_at	16	16	945.6	P	0.000219																															
93348_at	16	16	71.8	P	0.003067																															
93349_at	16	16	34.2	A	0.358690																															
93350_f_at	16	16	10.5	A	0.765443																															
93351_at	16	16	3.2	A	0.910595																															
93352_at	16	16	5.2	A	0.732537																															
93353_at	16	16	43.1	A	0.117160																															
93354_at	16	16	42.7	A	0.250724																															
93355_at	16	16	12.5	A	0.749276																															
93356_at	16	16	317.5	P	0.002617																															
93358_at	16	16	385.5	P	0.000219																															
93359_at	16	16	34.6	A	0.320830																															
93360_at	16	16	17.8	A	0.732537																															
93362_at	16	16	1563.8	P	0.000805																															
93364_at	16	16	288.5	P	0.000673																															
93365_s_at	16	16	3522.8	P	0.000219																															
93366_r_at	16	16	1000.0	P	0.000468																															
93367_at	16	16	267.1	P	0.009985																															
93488_at	16	16	266.7	P	0.000388																															
93489_at	16	16	3.3	A	0.956032																															
93490_at	16	16	2296.4	P	0.000219																															
93491_f_at	16	16	367.0	P	0.000322																															
93492_at	16	16	346.6	P	0.000388																															
93493_at	16	16	1945.6	P	0.000219																															
93495_at	16	16	65.3	P	0.000388																															
93496_at	16	16	760.3	P	0.000219																															
93497_at	16	16	25.5	A	0.107301																															
93498_s_at	16	16	1373.6	P	0.000219																															
93499_at	16	16	2594.5	P	0.000219																															
93500_at	16	16	451.6	P	0.000266																															
93501_f_at	16	16	408.6	P	0.000266																															
93502_r_at	16	16	24.9	P	0.039365																															
93503_at	16	16	48.8	A	0.073830																															
93505_at	16	16	4.6	A	0.679170																															
93506_at	16	16	76.2	A	0.138765																															
93507_at	16	16	53.1	A	0.397994																															
93509_at	16	16	837.3	P	0.000388																															
93511_at	16	16	44.9	P	0.001354																															
93512_f_at	16	16	367.1	P	0.006532																															
93513_at	16	16	12.0	A	0.849473																															
93514_at	16	16	2.6	A	0.951005																															
93515_at	16	16	9.1	A	0.732537																															
93516_at	16	16	32.1	A	0.127645																															
93517_at	16	16	59.8	A	0.302547																															
93518_at	16	16	800.8	P	0.001354																															
93519_s_at	16	16	1004.1	P	0.000219																															
93520_at	16	16	109.1	P	0.021866																															
93521_at	16	16	1807.2	P	0.000673																															
93522_at	16	16	97.2	A	0.066865																															
93523_at	16	16	7.6	A	0.438361																															
93524_i_at	15	15	24.9	A	0.432352																															
93525_f_at	16	16	79.1	A	0.073830																															
93526_at	16	16	42.3	A	0.267463																															
93527_at	16	16	9.8	A	0.621816																															
93528_s_at	16	16	109.6	A	0.107301																															
93529_at	16	16	271.0	P	0.003585																															
93530_at	16	16	55.0	P	0.017001																															
93531_at	16	16	546.6	P	0.000959																															
93532_at	16	16	4.3	A	0.918663																															
93533_at	16	16	469.2	P	0.000468																															
93534_at	16	16	32.8	A	0.234557																															
93535_at	16	16	105.0	P	0.000959																															
93536_at	16	16	478.5	P	0.000219																															
93538_at	16	16	179.4	P	0.000562																															
93539_at	16	16	403.9	P	0.002228																															
93540_at	16	16	768.2	P	0.000468																															
93541_at	16	16	41.5	A	0.302547																															
93542_at	16	16	44.1	A	0.479380																															
93543_f_at	16	16	405.3	A	0.127645																															
93546_s_at	16	16	1895.7	P	0.000322																															
93547_at	16	16	2824.9	P	0.000219																															
93548_at	16	16	1890.2	P	0.000219																															
93550_at	16	16	75.7	A	0.098054																															
93551_at	16	16	607.3	P	0.000562																															
93555_at	16	16	11.5	A	0.892699																															
93556_at	16	16	202.0	M	0.048995																															
93557_at	16	16	528.9	P	0.000219																															
93558_at	16	16	91.0	P	0.000468																															
93559_at	16	16	75.1	P	0.011447																															
93560_at	16	16	555.0	P	0.000219																															
93561_at	16	16	6.2	A	0.939581																															
93562_at	16	16	494.1	P	0.000805																															
